Polyjuice,1,1,45076.3,0.0
Polyjuice,2,1,70490.74,0.002494028
Polyjuice,4,1,119470.2,0.009254614
Polyjuice,8,1,200235.8,0.06190794000000001
Polyjuice,12,1,240572.6,0.004950894
Polyjuice,16,1,279325.2,0.0071214239999999995
Polyjuice,32,1,117646.0,0.008101166
Polyjuice,48,1,549.586,0.1189382
Silo,1,1,48670.5,0.0
Silo,2,1,76530.88,0.166641
Silo,4,1,80463.26,0.2581112
Silo,8,1,52391.36,0.2973122
Silo,12,1,53121.08,0.30562580000000006
Silo,16,1,53496.36000000001,0.31561659999999997
Silo,32,1,47619.14,0.31588320000000003
Silo,48,1,33221.52,0.4125308
2PL,1,1,36123.54,0.0
2PL,2,1,55807.740000000005,0.0
2PL,4,1,75421.68000000001,1.7487620000000002e-07
2PL,8,1,79035.78,8.398480000000001e-08
2PL,12,1,79796.58,3.33843e-07
2PL,16,1,79022.58,1.657876e-07
2PL,32,1,54218.54,1.240208e-07
2PL,48,1,2432.4519999999998,0.0
